Country,Code,Voice and Accountability,Political Stability and Absence of Violence/Terrorism,Government Effectiveness,Regulatory Quality,Rule of Law,Control of Corruption
Aruba,ABW,1.2941887378692627,1.3573716878890991,1.0299327373504639,0.8573601245880127,1.2631280422210693,1.2172383069992065
Andorra,ADO,1.1391539573669434,1.6151394844055176,1.9087485074996948,1.228176474571228,1.5799388885498047,1.2343919277191162
Afghanistan,AFG,-0.9880322813987732,-2.649406671524048,-1.4638749361038208,-1.1205554008483887,-1.713526964187622,-1.4010756015777588
Angola,AGO,-0.7772831916809082,-0.3111005425453186,-1.1171437501907349,-0.8938713669776917,-1.0543431043624878,-1.0546833276748657
Anguilla,AIA,NA,1.3673566579818726,0.8158238530158997,0.8462311029434204,0.35573673248291016,1.2343919277191162
Albania,ALB,0.15180465579032898,0.11856954544782639,-0.061330899596214294,0.27437981963157654,-0.41117939352989197,-0.5287575721740723
Netherlands Antilles (former),ANT,NA,NA,NA,NA,NA,NA
United Arab Emirates,ARE,-1.1220358610153198,0.7034943103790283,1.377220869064331,0.9793252348899841,0.8402188420295715,1.106342077255249
Argentina,ARG,0.6004348993301392,-0.11997848749160767,-0.08648588508367538,-0.4927525818347931,-0.430725634098053,-0.07107135653495789
Armenia,ARM,0.05004274845123291,-0.5064106583595276,-0.06681737303733826,0.2495153248310089,-0.13127575814723969,-0.18416833877563477
American Samoa,ASM,NA,1.160380482673645,0.5425926446914673,-0.2996050715446472,1.335098385810852,1.8438825607299805
Antigua and Barbuda,ATG,0.7604435682296753,0.9597089886665344,-0.0038697037380188704,0.48537468910217285,0.4052046537399292,0.2778981924057007
Australia,AUS,1.3151254653930664,1.0865033864974976,1.5718960762023926,1.8735394477844238,1.7341445684432983,1.8111071586608887
Austria,AUT,1.3265985250473022,0.9801226854324341,1.4909114837646484,1.4591155052185059,1.8830512762069702,1.5454288721084595
Azerbaijan,AZE,-1.4917879104614258,-0.6811310052871704,-0.13917681574821472,-0.22664128243923187,-0.5772703289985657,-0.8684072494506836
Burundi,BDI,-1.708203673362732,-1.6490296125411987,-1.3263216018676758,-0.9495388865470886,-1.431904673576355,-1.4584697484970093
Belgium,BEL,1.369119644165039,0.4811862111091614,1.0322270393371582,1.2909990549087524,1.3637149333953857,1.5519605875015259
Benin,BEN,0.09206519275903702,-0.3478640615940094,-0.44065171480178833,-0.3759646713733673,-0.6641258597373962,-0.3237638771533966
Burkina Faso,BFA,-0.18009068071842194,-1.1886175870895386,-0.7585108876228333,-0.3764920234680176,-0.4262591004371643,-0.18865616619586945
Bangladesh,BGD,-0.7217754125595093,-0.9181734919548035,-0.7392300963401794,-0.9289543032646179,-0.6363083720207214,-0.9938096404075623
Bulgaria,BGR,0.3849186897277832,0.5401217341423035,0.33900025486946106,0.5316786170005798,0.03589657321572304,-0.15519021451473236
Bahrain,BHR,-1.4125843048095703,-0.6615179777145386,0.2987609803676605,0.4850985109806061,0.4943777918815613,-0.010218021459877491
"Bahamas, The",BHS,0.9342639446258545,0.829479455947876,0.48609626293182373,-0.04830378293991089,0.07653187960386276,1.1846281290054321
Bosnia and Herzegovina,BIH,-0.1992863118648529,-0.4004397392272949,-0.6342770457267761,-0.19400231540203094,-0.2335415929555893,-0.6131451725959778
Belarus,BLR,-1.4025019407272339,0.28913021087646484,-0.18333275616168976,-0.5437806248664856,-0.7944577932357788,-0.059538982808589935
Belize,BLZ,0.5317143797874451,0.06981529295444489,-0.6767014265060425,-0.544256865978241,-0.7755124568939209,-0.19602280855178833
Bermuda,BMU,NA,1.0772281885147095,1.3622862100601196,0.8462311029434204,0.8454175591468811,1.2343919277191162
Bolivia,BOL,-0.09123608469963074,-0.6153546571731567,-0.6992179751396179,-0.9934061765670776,-1.1213886737823486,-0.742189347743988
Brazil,BRA,0.34442514181137085,-0.5464811325073242,-0.18673795461654663,-0.17779399454593658,-0.18090397119522095,-0.3339984714984894
Barbados,BRB,1.1318668127059937,0.9417336583137512,0.6314250230789185,0.4123010039329529,0.3570292294025421,1.261709213256836
Brunei Darussalam,BRN,-0.9489539265632629,1.1722456216812134,1.3183088302612305,0.6344553232192993,0.6142666935920715,0.8018863797187805
Bhutan,BTN,0.09876487404108047,1.0925052165985107,0.31376519799232483,-0.32665666937828064,0.5897077322006226,1.6179190874099731
South Sudan,SSD,-1.9748085737228394,-2.5589020252227783,-2.4515552520751953,-2.048964738845825,-1.969724416732788,-1.7737241983413696
