genres,rated,title,countries,year,type,languages,imdb_rating,rt_rating,decade
Drama,NOT RATED,Intolerance: Love's Struggle Throughout the Ages,USA,1916,movie,Inconnu,8,3.8,1920
Comedy,NA,The Poor Little Rich Girl,USA,1917,movie,English,6.9,3.9,1920
Comedy,NOT RATED,The Kid,USA,1921,movie,English,8.4,4.2,1920
Comedy,NA,Miss Lulu Bett,USA,1921,movie,Inconnu,7.2,2.5,1920
Comedy,NOT RATED,Safety Last!,USA,1923,movie,English,8.3,4.2,1920
Drama,PASSED,Wild Oranges,USA,1924,movie,English,7.1,4.2,1920
Drama,UNRATED,The Hunchback of Notre Dame,USA,1923,movie,Inconnu,7.4,3.6,1920
Comedy,NOT RATED,Our Hospitality,USA,1923,movie,English,7.9,4.1,1920
Drama,NOT RATED,The Big Parade,USA,1925,movie,Inconnu,8.3,4.2,1920
Romance,UNRATED,Hell's Hinges,USA,1916,movie,English,6.4,3.2,1920
Short,G,A Corner in Wheat,USA,1909,movie,English,6.6,3.6,1910
Drama,APPROVED,Where Are My Children?,USA,1916,movie,English,5.9,3.1,1920
Drama,NOT RATED,Broken Blossoms or The Yellow Man and the Girl,USA,1919,movie,Inconnu,7.7,3.7,1920
Biography,NA,Salomè,USA,1922,movie,Inconnu,6.6,3.9,1920
Crime,PASSED,The Ace of Hearts,USA,1921,movie,Inconnu,7,3.5,1920
Comedy,NA,Three Ages,USA,1923,movie,Inconnu,7.2,3.6,1920
Documentary,PASSED,Grass: A Nation's Battle for Life,USA,1925,movie,Inconnu,7.9,3.7,1920
Drama,TV-PG,A Woman of Paris: A Drama of Fate,USA,1923,movie,Inconnu,7.1,3.7,1920
Comedy,UNRATED,Sherlock Jr.,USA,1924,movie,Inconnu,8.3,4.3,1920
Adventure,APPROVED,The Thief of Bagdad,USA,1924,movie,Inconnu,7.9,3.8,1920
Drama,PASSED,The Italian,USA,1915,movie,English,6.4,4,1920
Drama,NA,Foolish Wives,USA,1922,movie,English,7.3,3.7,1920
Comedy,NOT RATED,The Freshman,USA,1925,movie,English,7.6,3.9,1920
Drama,NA,In the Land of the Head Hunters,USA,1914,movie,English,5.8,2.7,1910
Short,TV-G,One Week,USA,1920,movie,English,8.3,4.3,1920
Adventure,UNRATED,The Chechahcos,USA,1923,movie,Inconnu,6.6,3.4,1920
Action,UNRATED,The Navigator,USA,1924,movie,Inconnu,8.1,4,1920
Comedy,APPROVED,Lady Windermere's Fan,USA,1925,movie,English,7.6,3.7,1920
Short,UNRATED,The Land Beyond the Sunset,USA,1912,movie,English,7.1,3.7,1910
Biography,PASSED,Regeneration,USA,1915,movie,English,6.8,3.4,1920
Comedy,NA,Wild and Woolly,USA,1917,movie,English,6.9,NA,1920
Drama,NA,He Who Gets Slapped,USA,1924,movie,English,7.8,4.2,1920
Drama,NA,White Shadows,UK,1924,movie,English,6.5,2.8,1920
Drama,NOT RATED,The Birth of a Nation,USA,1915,movie,Inconnu,6.8,3.2,1920
Adventure,NOT RATED,The Last of the Mohicans,USA,1920,movie,English,6.9,3.5,1920
Short,UNRATED,Cops,USA,1922,movie,English,7.8,4,1920
Animation,NA,"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics",USA,1911,movie,English,7.3,3.4,1910
Adventure,NOT RATED,The Gold Rush,USA,1925,movie,English,8.3,4.1,1920
Adventure,UNRATED,The Lost World,USA,1925,movie,Inconnu,7.1,3.5,1920
Drama,NOT RATED,The Cheat,USA,1915,movie,English,6.5,3.2,1920
Drama,NA,Civilization,USA,1916,movie,Inconnu,6.3,0,1920
Fantasy,NA,The Blue Bird,USA,1918,movie,English,6.6,3.6,1920
Comedy,PASSED,High and Dizzy,USA,1920,movie,English,7,3.4,1920
Drama,PASSED,The Four Horsemen of the Apocalypse,USA,1921,movie,Inconnu,7.9,3.9,1920
Crime,TV-PG,Traffic in Souls,USA,1913,movie,English,6,3,1910
History,UNRATED,Battleship Potemkin,Soviet Union,1925,movie,Russian,8,4,1920
Comedy,NOT RATED,Go West,USA,1925,movie,English,7.3,3.6,1920
Comedy,NA,The Saphead,USA,1920,movie,Inconnu,6.2,3.3,1920
Short,UNRATED,Blacksmith Scene,USA,1893,movie,Inconnu,6.2,3,1890
Comedy,PASSED,Now or Never,USA,1921,movie,English,6.8,3.8,1920
Documentary,NOT RATED,Nanook of the North,USA,1922,movie,Inconnu,7.8,3.8,1920
Adventure,NA,Robin Hood,USA,1922,movie,English,7.7,3.6,1920
Short,TV-G,The Great Train Robbery,USA,1903,movie,English,7.4,3.7,1900
Action,NA,The Perils of Pauline,USA,1914,movie,English,7.6,2.8,1910
Action,NOT RATED,Les vampires,France,1915,movie,French,6.8,3.8,1920
Horror,UNRATED,Nosferatu,Germany,1922,movie,German,8,4,1920
Short,UNRATED,The Immigrant,USA,1917,movie,English,7.8,4.1,1920
Animation,NA,Gertie the Dinosaur,USA,1914,movie,English,7.3,3.7,1910
Comedy,TV-G,From Hand to Mouth,USA,1919,movie,English,7,3.3,1920
Adventure,NA,Peter Pan,USA,1924,movie,Inconnu,7.4,3.4,1920
Adventure,PASSED,Clash of the Wolves,USA,1925,movie,English,6.7,3.6,1920
Drama,NA,Tol'able David,USA,1921,movie,Inconnu,8.1,3.3,1920
Western,PASSED,The Iron Horse,USA,1924,movie,English,7.3,3.7,1920
Drama,NOT RATED,Greed,USA,1924,movie,English,7.9,4.3,1920
Adventure,NOT RATED,Ben-Hur: A Tale of the Christ,USA,1925,movie,English,8.1,3.9,1920
Comedy,NOT RATED,Battling Butler,USA,1926,movie,English,7.2,3.7,1930
Biography,NA,Napoleon,France,1927,movie,Inconnu,7.4,4.3,1930
Comedy,NOT RATED,Lonesome,USA,1928,movie,English,8,3.9,1930
Drama,NA,Street Angel,USA,1928,movie,Inconnu,7.5,3.7,1930
Comedy,NA,The Strong Man,USA,1926,movie,English,6.8,3.7,1930
Action,UNRATED,The General,USA,1926,movie,English,8.3,4.3,1930
Comedy,PASSED,It,USA,1927,movie,Inconnu,7.5,3.7,1930
Drama,NOT RATED,7th Heaven,USA,1927,movie,English,7.8,4,1930
Animation,NA,Steamboat Willie,USA,1928,movie,English,7.7,3.8,1930
Drama,UNRATED,All Quiet on the Western Front,USA,1930,movie,English,8.1,3.9,1930
Drama,PASSED,"Laugh, Clown, Laugh",USA,1928,movie,Inconnu,7.8,4.1,1930
Documentary,NOT RATED,Man with a Movie Camera,Soviet Union,1929,movie,Inconnu,8.4,4.1,1930
Crime,NA,Little Caesar,USA,1931,movie,English,7.4,3.6,1930
Drama,UNRATED,The Jazz Singer,USA,1927,movie,English,6.9,3.3,1930
Drama,PASSED,Four Sons,USA,1928,movie,English,7,3.7,1930
Drama,PASSED,Hallelujah,USA,1929,movie,English,7,3.2,1930
Romance,PASSED,The Divorcee,USA,1930,movie,English,6.9,3.5,1930
Comedy,NOT RATED,Seven Chances,USA,1925,movie,English,8,4.1,1920
Action,NOT RATED,"Steamboat Bill, Jr.",USA,1928,movie,English,8,4.1,1930
Drama,NA,Asphalt,Germany,1929,movie,German,7.6,3.8,1930
Adventure,NA,The Black Pirate,USA,1926,movie,Inconnu,7.2,3.3,1930
Comedy,NOT RATED,The Kid Brother,USA,1927,movie,English,7.6,4,1930
