Région,Agriculteurs Actifs ayant un emploi RP1968,Agriculteurs Chômeurs RP1968,"Artisans, commerçants, chefs d'entreprise Actifs ayant un emploi RP1968","Artisans, commerçants, chefs d'entreprise Chômeurs RP1968",Cadres et professions intellectuelles supérieures Actifs ayant un emploi RP1968,Cadres et professions intellectuelles supérieures Chômeurs RP1968,Professions intermédiaires Actifs ayant un emploi RP1968,Professions intermédiaires Chômeurs RP1968,Employés Actifs ayant un emploi RP1968,Employés Chômeurs RP1968,Ouvriers Actifs ayant un emploi RP1968,Ouvriers Chômeurs RP1968
Île-de-France,13652,0,221520,12,305912,4212,521652,7328,791704,20832,879892,34556
Centre-Val de Loire,73128,0,53572,0,21604,144,59452,616,85424,1904,183304,3748
Bourgogne-Franche-Comté,85284,0,61824,0,26604,84,76732,432,103348,1412,231496,3076
Normandie,113008,0,69388,0,30088,144,86712,556,113204,2148,256920,5376
Hauts-de-France,86004,0,119944,0,53872,312,160128,1052,197596,3532,541364,13664
Grand Est,97980,0,96348,0,62796,276,159032,976,215492,3372,516920,7748
Pays de la Loire,151212,0,67008,0,23992,148,70120,444,94472,1528,206432,3632
Bretagne,181764,0,70200,0,24464,132,60080,460,87700,1356,180328,4648
Nouvelle-Aquitaine,226852,0,129596,0,50772,452,119248,1244,201232,4376,365672,7364
Occitanie,143432,0,102208,0,46608,396,110108,1272,161756,3684,300480,6460
Auvergne-Rhône-Alpes,165352,0,162272,0,79812,540,205256,1564,257968,4400,571200,10580
Provence-Alpes-Côte d'Azur,40684,0,100388,0,54556,880,108744,2764,188432,8108,271088,17280
Corse,4960,0,5700,0,2080,0,4320,80,9540,240,15860,340
