"actor_id";"film_id";"last_update"
1;1;"2017-09-22 10:28:50"
1;23;"2017-09-22 10:28:50"
1;25;"2017-09-22 10:28:50"
1;106;"2017-09-22 10:28:50"
1;140;"2017-09-22 10:28:50"
1;166;"2017-09-22 10:28:50"
1;277;"2017-09-22 10:28:50"
1;361;"2017-09-22 10:28:50"
1;438;"2017-09-22 10:28:50"
1;499;"2017-09-22 10:28:50"
1;506;"2017-09-22 10:28:50"
1;509;"2017-09-22 10:28:50"
1;605;"2017-09-22 10:28:50"
1;635;"2017-09-22 10:28:50"
1;749;"2017-09-22 10:28:50"
1;832;"2017-09-22 10:28:50"
1;939;"2017-09-22 10:28:50"
1;970;"2017-09-22 10:28:50"
1;980;"2017-09-22 10:28:50"
2;3;"2017-09-22 10:28:50"
2;31;"2017-09-22 10:28:50"
2;47;"2017-09-22 10:28:50"
2;105;"2017-09-22 10:28:50"
2;132;"2017-09-22 10:28:50"
2;145;"2017-09-22 10:28:50"
2;226;"2017-09-22 10:28:50"
2;249;"2017-09-22 10:28:50"
2;314;"2017-09-22 10:28:50"
2;321;"2017-09-22 10:28:50"
2;357;"2017-09-22 10:28:50"
2;369;"2017-09-22 10:28:50"
2;399;"2017-09-22 10:28:50"
2;458;"2017-09-22 10:28:50"
2;481;"2017-09-22 10:28:50"
2;485;"2017-09-22 10:28:50"
2;518;"2017-09-22 10:28:50"
2;540;"2017-09-22 10:28:50"
2;550;"2017-09-22 10:28:50"
2;555;"2017-09-22 10:28:50"
2;561;"2017-09-22 10:28:50"
2;742;"2017-09-22 10:28:50"
2;754;"2017-09-22 10:28:50"
2;811;"2017-09-22 10:28:50"
2;958;"2017-09-22 10:28:50"
3;17;"2017-09-22 10:28:50"
3;40;"2017-09-22 10:28:50"
3;42;"2017-09-22 10:28:50"
3;87;"2017-09-22 10:28:50"
3;111;"2017-09-22 10:28:50"
3;185;"2017-09-22 10:28:50"
3;289;"2017-09-22 10:28:50"
3;329;"2017-09-22 10:28:50"
3;336;"2017-09-22 10:28:50"
3;341;"2017-09-22 10:28:50"
3;393;"2017-09-22 10:28:50"
3;441;"2017-09-22 10:28:50"
3;453;"2017-09-22 10:28:50"
3;480;"2017-09-22 10:28:50"
3;539;"2017-09-22 10:28:50"
3;618;"2017-09-22 10:28:50"
3;685;"2017-09-22 10:28:50"
3;827;"2017-09-22 10:28:50"
3;966;"2017-09-22 10:28:50"
3;967;"2017-09-22 10:28:50"
3;971;"2017-09-22 10:28:50"
3;996;"2017-09-22 10:28:50"
4;23;"2017-09-22 10:28:50"
4;25;"2017-09-22 10:28:50"
4;56;"2017-09-22 10:28:50"
4;62;"2017-09-22 10:28:50"
4;79;"2017-09-22 10:28:50"
4;87;"2017-09-22 10:28:50"
4;355;"2017-09-22 10:28:50"
4;379;"2017-09-22 10:28:50"
4;398;"2017-09-22 10:28:50"
4;463;"2017-09-22 10:28:50"
4;490;"2017-09-22 10:28:50"
4;616;"2017-09-22 10:28:50"
4;635;"2017-09-22 10:28:50"
4;691;"2017-09-22 10:28:50"
4;712;"2017-09-22 10:28:50"
4;714;"2017-09-22 10:28:50"
4;721;"2017-09-22 10:28:50"
4;798;"2017-09-22 10:28:50"
4;832;"2017-09-22 10:28:50"
4;858;"2017-09-22 10:28:50"
4;909;"2017-09-22 10:28:50"
4;924;"2017-09-22 10:28:50"
5;19;"2017-09-22 10:28:50"
5;54;"2017-09-22 10:28:50"
5;85;"2017-09-22 10:28:50"
5;146;"2017-09-22 10:28:50"
5;171;"2017-09-22 10:28:50"
5;172;"2017-09-22 10:28:50"
5;202;"2017-09-22 10:28:50"
5;203;"2017-09-22 10:28:50"
5;286;"2017-09-22 10:28:50"
5;288;"2017-09-22 10:28:50"
5;316;"2017-09-22 10:28:50"
5;340;"2017-09-22 10:28:50"
5;369;"2017-09-22 10:28:50"
5;375;"2017-09-22 10:28:50"
5;383;"2017-09-22 10:28:50"
5;392;"2017-09-22 10:28:50"
5;411;"2017-09-22 10:28:50"
5;503;"2017-09-22 10:28:50"
5;535;"2017-09-22 10:28:50"
5;571;"2017-09-22 10:28:50"
5;650;"2017-09-22 10:28:50"
5;665;"2017-09-22 10:28:50"
5;687;"2017-09-22 10:28:50"
5;730;"2017-09-22 10:28:50"
5;732;"2017-09-22 10:28:50"
5;811;"2017-09-22 10:28:50"
5;817;"2017-09-22 10:28:50"
5;841;"2017-09-22 10:28:50"
5;865;"2017-09-22 10:28:50"
6;29;"2017-09-22 10:28:50"
6;53;"2017-09-22 10:28:50"
6;60;"2017-09-22 10:28:50"
6;70;"2017-09-22 10:28:50"
6;112;"2017-09-22 10:28:50"
6;164;"2017-09-22 10:28:50"
6;165;"2017-09-22 10:28:50"
6;193;"2017-09-22 10:28:50"
6;256;"2017-09-22 10:28:50"
6;451;"2017-09-22 10:28:50"
6;503;"2017-09-22 10:28:50"
6;509;"2017-09-22 10:28:50"
6;517;"2017-09-22 10:28:50"
6;519;"2017-09-22 10:28:50"
6;605;"2017-09-22 10:28:50"
6;692;"2017-09-22 10:28:50"
6;826;"2017-09-22 10:28:50"
6;892;"2017-09-22 10:28:50"
6;902;"2017-09-22 10:28:50"
6;994;"2017-09-22 10:28:50"
7;25;"2017-09-22 10:28:50"
7;27;"2017-09-22 10:28:50"
7;35;"2017-09-22 10:28:50"
7;67;"2017-09-22 10:28:50"
7;96;"2017-09-22 10:28:50"
7;170;"2017-09-22 10:28:50"
7;173;"2017-09-22 10:28:50"
7;217;"2017-09-22 10:28:50"
7;218;"2017-09-22 10:28:50"
7;225;"2017-09-22 10:28:50"
7;292;"2017-09-22 10:28:50"
7;351;"2017-09-22 10:28:50"
7;414;"2017-09-22 10:28:50"
7;463;"2017-09-22 10:28:50"
7;554;"2017-09-22 10:28:50"
7;618;"2017-09-22 10:28:50"
7;633;"2017-09-22 10:28:50"
7;637;"2017-09-22 10:28:50"
7;691;"2017-09-22 10:28:50"
7;758;"2017-09-22 10:28:50"
7;766;"2017-09-22 10:28:50"
7;770;"2017-09-22 10:28:50"
7;805;"2017-09-22 10:28:50"
7;806;"2017-09-22 10:28:50"
7;846;"2017-09-22 10:28:50"
7;900;"2017-09-22 10:28:50"
7;901;"2017-09-22 10:28:50"
7;910;"2017-09-22 10:28:50"
7;957;"2017-09-22 10:28:50"
7;959;"2017-09-22 10:28:50"
8;47;"2017-09-22 10:28:50"
8;115;"2017-09-22 10:28:50"
8;158;"2017-09-22 10:28:50"
8;179;"2017-09-22 10:28:50"
8;195;"2017-09-22 10:28:50"
8;205;"2017-09-22 10:28:50"
8;255;"2017-09-22 10:28:50"
8;263;"2017-09-22 10:28:50"
8;321;"2017-09-22 10:28:50"
8;396;"2017-09-22 10:28:50"
8;458;"2017-09-22 10:28:50"
8;523;"2017-09-22 10:28:50"
8;532;"2017-09-22 10:28:50"
8;554;"2017-09-22 10:28:50"
8;752;"2017-09-22 10:28:50"
8;769;"2017-09-22 10:28:50"
8;771;"2017-09-22 10:28:50"
8;859;"2017-09-22 10:28:50"
8;895;"2017-09-22 10:28:50"
8;936;"2017-09-22 10:28:50"
9;30;"2017-09-22 10:28:50"
9;74;"2017-09-22 10:28:50"
9;147;"2017-09-22 10:28:50"
9;148;"2017-09-22 10:28:50"
9;191;"2017-09-22 10:28:50"
9;200;"2017-09-22 10:28:50"
9;204;"2017-09-22 10:28:50"
9;434;"2017-09-22 10:28:50"
9;510;"2017-09-22 10:28:50"
9;514;"2017-09-22 10:28:50"
9;552;"2017-09-22 10:28:50"
9;650;"2017-09-22 10:28:50"
